ID;pris;km;year;hk;kml;kmt;Groen ejerudgift;model navn;region;Koeb eller leasing;annonce;links;type
4682208;274900.0;61000.0;2018.0;115.0;22.7;11.4;3520.0;VW Touran 1,6 TDi 115 Comfortline DSG 7prs 5d;Vestjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-dsg-7prs-5d/4682208;TDi
4612958;321900.0;10000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Nordsjaelland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4612958;TSi
4689302;199900.0;132000.0;2016.0;110.0;23.3;11.9;3020.0;VW Touran 1,6 TDi 110 Comfortline DSG 7prs 5d;Fyn;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-110-comfortline-dsg-7prs-5d/4689302;TDi
4691044;359800.0;68000.0;2017.0;190.0;19.2;8.2;5180.0;VW Touran 2,0 TDi 190 R-line DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-190-r-line-dsg-7prs-5d/4691044;TDi
4677274;269900.0;16000.0;2018.0;150.0;17.5;8.9;2380.0;VW Touran 1,4 TSi 150 Comfortline 7prs 5d;Nordsjaelland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-7prs-5d/4677274;TSi
4669982;269900.0;124000.0;2017.0;150.0;21.7;9.3;3880.0;VW Touran 2,0 TDi 150 R-line 7prs 5d;Nordsjaelland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/20-tdi-150-r-line-7prs-5d/4669982;TDi
4654347;259900.0;37000.0;2016.0;150.0;18.5;8.9;1280.0;VW Touran 1,4 TSi 150 Comfortline DSG 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/14-tsi-150-comfortline-dsg-7prs-5d/4654347;TSi
4645910;244800.0;97000.0;2017.0;115.0;21.7;11.4;4380.0;VW Touran 1,6 TDi 115 Comfortline 7prs 5d;Syd- og Soenderjylland;Koeb;plus;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-comfortline-7prs-5d/4645910;TDi
4650521;319900.0;12000.0;2019.0;115.0;26.2;11.9;3260.0;VW Touran 1,6 TDi 115 IQ.Drive DSG 7prs 5d;Fyn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-iqdrive-dsg-7prs-5d/4650521;TDi
4684136;324900.0;13000.0;2019.0;150.0;19.3;8.9;1780.0;VW Touran 1,5 TSi 150 Comfortline DSG 7prs 5d;Koebenhavn;Koeb;exclusive;www.bilbasen.dk/brugt/bil/vw/touran/15-tsi-150-comfortline-dsg-7prs-5d/4684136;TSi
